[0, 6] ; [26, 30]
[0, 3] ; [24, 26]
[0, 5] ; [6, 10]
[0, 6] ; [29, 35]
[0, 5] ; [56, 61]
[0, 5] ; [100, 106]
[11, 13] ; [94, 107]
[21, 26] ; [0, 6]
[0, 5] ; [-1, 17]
[2, 12] ; [134, 144]
[42, 47] ; [50, 54]
[20, 22] ; [11, 15]
[7, 15] ; [22, 28]
[0, 6] ; [38, 45]
[7, 12] ; [65, 74]
[5, 9] ; [27, 31]
[0, 4] ; [22, 26]
[0, 6] ; [7, 11]
[0, 3] ; [29, 36]
[0, 4] ; [96, 98]
[4, 10] ; [106, 111]
[3, 7] ; [52, 58]
[9, 13] ; [49, 53]
[0, 5] ; [87, 96]
[6, 14] ; [46, 50]
[20, 22] ; [-1, 17]
[0, 5] ; [19, 22]
[26, 30] ; [31, 34]
[0, 6] ; [12, 16]
[3, 11] ; [84, 87]
[-1, 18] ; [42, 46]
[0, 7] ; [130, 133]
[4, 12] ; [77, 85]
[23, 30] ; [149, 152]
[38, 42] ; [66, 71]
[0, 3] ; [69, 73]
[6, 9] ; [33, 35]
[14, 19] ; [40, 48]
[62, 65] ; [78, 85]
[2, 6] ; [24, 27]
[0, 2] ; [35, 39]
[0, 10] ; [49, 54]
[37, 43] ; [146, 149]
[0, 6] ; [35, 37]
[10, 15] ; [36, 45]
[23, 31] ; [126, 130]
[42, 49] ; [149, 159]
[17, 20] ; [47, 50]
[36, 41] ; [46, 49]
[46, 54] ; [15, 19]
[7, 16] ; [40, 44]
[0, 6] ; [120, 126]
[0, 3] ; [150, 154]
[0, 5] ; [6, 8]
[126, 132] ; [183, 189]
[121, 124] ; [105, 111]
[7, 12] ; [20, 25]
[59, 71] ; [50, 56]
[9, 12] ; [34, 38]
[0, 6] ; [12, 15]
[9, 16] ; [65, 69]
[0, 6] ; [39, 46]
[16, 22] ; [61, 63]
[24, 31] ; [53, 55]
[18, 24] ; [36, 41]
[40, 43] ; [102, 112]
[0, 3] ; [4, 7]
[0, 4] ; [56, 60]
[0, 3] ; [151, 153]
[0, 9] ; [25, 30]
[0, 7] ; [53, 55]
[0, 4] ; [182, 184]
[9, 17] ; [33, 36]
[0, 6] ; [31, 35]
[0, 3] ; [7, 9]
[3, 11] ; [62, 67]
[0, 7] ; [145, 151]
[2, 8] ; [78, 82]
[0, 3] ; [14, 18]
[0, 3] ; [59, 64]
[91, 96] ; [0, 2]
[0, 3] ; [32, 38]
[0, 5] ; [26, 30]
[4, 8] ; [26, 31]
[18, 21] ; [75, 79]
[28, 32] ; [75, 80]
[0, 4] ; [8, 11]
[7, 10] ; [17, 27]
[6, 10] ; [189, 192]
[0, 5] ; [38, 45]
[0, 7] ; [130, 136]
[50, 58] ; [100, 103]
[19, 22] ; [66, 71]
[43, 49] ; [57, 62]
[0, 2] ; [6, 9]
[9, 13] ; [30, 42]
[0, 2] ; [6, 9]
[0, 5] ; [22, 27]
[1, 9] ; [69, 73]
[9, 15] ; [132, 134]
[13, 15] ; [24, 28]
[0, 9] ; [66, 75]
[0, 3] ; [35, 40]
[0, 6] ; [55, 63]
[0, 6] ; [45, 48]
[36, 42] ; [62, 68]
[29, 31] ; [12, 16]
[0, 6] ; [34, 40]
[0, 5] ; [82, 91]
[0, 3] ; [22, 26]
[0, 4] ; [16, 19]
[17, 25] ; [103, 107]
[0, 10] ; [55, 60]
[10, 17] ; [113, 117]
[0, 6] ; [7, 11]
[35, 39] ; [60, 62]
[5, 11] ; [75, 82]
[0, 4] ; [34, 42]
[7, 12] ; [3, 5]
[0, 9] ; [73, 79]
[2, 8] ; [36, 42]
[0, 6] ; [21, 28]
[18, 23] ; [32, 37]
[3, 10] ; [158, 162]
[0, 5] ; [8, 12]
[0, 6] ; [7, 18]
[0, 2] ; [5, 9]
[0, 2] ; [10, 14]
[0, 6] ; [13, 15]
[40, 45] ; [101, 103]
[6, 13] ; [59, 64]
[60, 63] ; [140, 142]
[13, 18] ; [19, 23]
[67, 101] ; [102, 106]
[0, 2] ; [30, 34]
[0, 4] ; [89, 97]
[7, 10] ; [36, 43]
[52, 57] ; [99, 103]
[16, 21] ; [152, 154]
[0, 3] ; [9, 12]
[6, 10] ; [141, 143]
[0, 4] ; [7, 12]
[16, 19] ; [7, 14]
[48, 53] ; [2, 7]
[0, 7] ; [33, 39]
[0, 6] ; [7, 23]
[10, 15] ; [32, 35]
[146, 149] ; [169, 176]
[0, 8] ; [16, 21]
[0, 6] ; [80, 83]
[67, 73] ; [82, 86]
[31, 34] ; [100, 106]
[3, 12] ; [23, 26]
[0, 9] ; [12, 19]
[20, 25] ; [95, 101]
[10, 13] ; [0, 6]
[17, 20] ; [20, 23]
[48, 57] ; [189, 192]
[7, 16] ; [77, 81]
[55, 58] ; [67, 69]
[0, 5] ; [37, 42]
[19, 21] ; [12, 16]
[0, 4] ; [19, 23]
[13, 16] ; [62, 65]
[0, 3] ; [182, 187]
[0, 9] ; [44, 48]
[3, 6] ; [-1, 17]
[6, 10] ; [69, 72]
[0, 2] ; [41, 45]
[6, 11] ; [99, 103]
[1, 6] ; [-1, 17]
[12, 21] ; [81, 88]
[0, 6] ; [34, 38]
[8, 13] ; [42, 47]
[54, 60] ; [67, 71]
[0, 4] ; [56, 58]
[36, 46] ; [47, 50]
[3, 8] ; [115, 119]
[0, 7] ; [157, 159]
[25, 27] ; [89, 93]
[0, 6] ; [38, 40]
[0, 6] ; [93, 95]
[18, 26] ; [27, 32]
[98, 103] ; [3, 9]
[14, 21] ; [8, 13]
[57, 63] ; [98, 101]
[0, 7] ; [25, 34]
[17, 20] ; [3, 10]
[10, 12] ; [3, 7]
[24, 27] ; [3, 7]
[2, 8] ; [89, 91]
[0, 4] ; [88, 95]
[0, 9] ; [42, 45]
[0, 2] ; [77, 83]
[8, 10] ; [14, 20]
[0, 3] ; [22, 26]
[16, 21] ; [22, 26]
[35, 39] ; [91, 95]
[23, 25] ; [0, 8]
[0, 2] ; [6, 10]
[0, 9] ; [54, 60]
[2, 8] ; [41, 46]
[79, 86] ; [45, 49]
[0, 7] ; [11, 13]
[4, 6] ; [21, 25]
[105, 112] ; [113, 126]
[2, 5] ; [3, 5]
[0, 9] ; [87, 92]
[0, 7] ; [71, 74]
