[85, 90] ; [127, 136]
[29, 33] ; [1, 3]
[37, 46] ; [100, 102]
[0, 6] ; [33, 35]
[-1, 18] ; [83, 85]
[0, 4] ; [16, 20]
[2, 7] ; [80, 86]
[0, 7] ; [60, 62]
[2, 6] ; [93, 95]
[22, 29] ; [4, 13]
[7, 13] ; [36, 40]
[11, 16] ; [25, 31]
[2, 6] ; [8, 13]
[0, 5] ; [98, 105]
[34, 41] ; [118, 122]
[12, 14] ; [85, 91]
[0, 5] ; [50, 54]
[45, 54] ; [7, 10]
[3, 8] ; [182, 184]
[12, 18] ; [32, 39]
[24, 29] ; [37, 44]
[18, 20] ; [85, 87]
[6, 12] ; [17, 21]
[3, 11] ; [79, 84]
[13, 18] ; [18, 21]
[33, 40] ; [97, 103]
[0, 5] ; [47, 54]
[0, 4] ; [41, 43]
[35, 40] ; [9, 26]
[39, 46] ; [20, 24]
[8, 11] ; [72, 76]
[2, 7] ; [75, 80]
[-1, 18] ; [13, 43]
[0, 5] ; [77, 84]
[3, 6] ; [112, 120]
[0, 5] ; [9, 11]
[-1, 18] ; [31, 35]
[109, 114] ; [0, 5]
[0, 6] ; [12, 16]
[13, 17] ; [52, 56]
[184, 187] ; [145, 151]
[53, 57] ; [58, 77]
[3, 8] ; [146, 151]
[28, 31] ; [7, 24]
[24, 30] ; [45, 48]
[6, 10] ; [24, 27]
[0, 4] ; [46, 52]
[3, 12] ; [100, 102]
[36, 42] ; [87, 92]
[0, 3] ; [12, 17]
[0, 7] ; [61, 68]
[5, 12] ; [14, 23]
[9, 15] ; [43, 49]
[0, 7] ; [40, 44]
[101, 105] ; [17, 21]
[23, 26] ; [67, 78]
[0, 5] ; [56, 61]
[0, 5] ; [42, 50]
[7, 9] ; [12, 16]
[0, 7] ; [64, 73]
[0, 2] ; [33, 38]
[0, 4] ; [28, 38]
[3, 11] ; [125, 127]
[40, 45] ; [29, 38]
[3, 9] ; [41, 45]
[45, 50] ; [56, 59]
[0, 4] ; [29, 31]
[17, 20] ; [50, 52]
[3, 7] ; [128, 132]
[33, 35] ; [55, 61]
[44, 51] ; [34, 38]
[0, 4] ; [56, 67]
[0, 4] ; [38, 41]
[16, 22] ; [-1, 17]
[0, 7] ; [57, 59]
[9, 16] ; [28, 34]
[4, 8] ; [38, 40]
[0, 10] ; [39, 69]
[0, 6] ; [20, 24]
[90, 95] ; [96, 100]
[2, 5] ; [120, 124]
[0, 4] ; [23, 27]
[0, 7] ; [8, 18]
[107, 112] ; [113, 133]
[3, 8] ; [49, 54]
[42, 48] ; [9, 15]
[3, 6] ; [40, 46]
[0, 6] ; [7, 12]
[40, 46] ; [0, 6]
[0, 7] ; [-1, 17]
[36, 40] ; [112, 118]
[96, 98] ; [63, 68]
[0, 4] ; [15, 20]
[5, 8] ; [61, 67]
[3, 11] ; [97, 100]
[21, 28] ; [29, 32]
[55, 58] ; [76, 84]
[28, 33] ; [7, 12]
[14, 19] ; [10, 12]
[0, 3] ; [21, 24]
[0, 4] ; [10, 18]
[0, 3] ; [135, 138]
[4, 6] ; [7, 10]
[23, 26] ; [74, 79]
[15, 21] ; [54, 64]
[0, 7] ; [118, 121]
[0, 7] ; [34, 38]
[0, 5] ; [6, 10]
[0, 4] ; [40, 44]
[2, 9] ; [41, 45]
[37, 42] ; [88, 92]
[0, 6] ; [101, 107]
[6, 9] ; [104, 108]
[0, 4] ; [101, 104]
[3, 8] ; [107, 111]
[2, 9] ; [84, 86]
[0, 7] ; [10, 13]
[30, 33] ; [50, 54]
[0, 4] ; [9, 15]
[0, 8] ; [95, 99]
[19, 22] ; [23, 29]
[0, 2] ; [40, 43]
[0, 6] ; [12, 15]
[4, 8] ; [41, 46]
[28, 31] ; [63, 71]
[53, 57] ; [58, 77]
[11, 16] ; [97, 104]
[32, 40] ; [81, 89]
[25, 31] ; [234, 239]
[125, 132] ; [170, 172]
[132, 135] ; [120, 125]
[34, 39] ; [3, 6]
[0, 10] ; [35, 37]
[57, 63] ; [81, 83]
[15, 28] ; [8, 11]
[62, 65] ; [6, 12]
[0, 3] ; [17, 21]
[0, 8] ; [35, 40]
[3, 8] ; [81, 85]
[0, 4] ; [50, 52]
[3, 12] ; [28, 30]
[105, 128] ; [176, 179]
[20, 24] ; [54, 58]
[0, 7] ; [28, 36]
[0, 10] ; [37, 43]
[4, 12] ; [60, 69]
[36, 38] ; [41, 42]
[8, 18] ; [68, 71]
[2, 4] ; [9, 12]
[0, 6] ; [122, 126]
[0, 3] ; [49, 53]
[36, 40] ; [185, 192]
[0, 3] ; [33, 38]
[0, 2] ; [33, 37]
[10, 12] ; [107, 112]
[95, 100] ; [59, 64]
[4, 6] ; [78, 81]
[0, 6] ; [104, 112]
[8, 14] ; [30, 34]
[0, 6] ; [9, 16]
[31, 33] ; [19, 30]
[0, 3] ; [37, 40]
[0, 5] ; [38, 43]
[0, 8] ; [53, 57]
[51, 54] ; [65, 67]
[20, 26] ; [27, 32]
[0, 7] ; [10, 15]
[3, 9] ; [-1, 17]
[14, 23] ; [110, 115]
[0, 3] ; [28, 31]
[4, 7] ; [14, 18]
[0, 9] ; [34, 42]
[15, 21] ; [34, 39]
[0, 7] ; [9, 17]
[0, 6] ; [88, 93]
[0, 7] ; [8, 33]
[37, 41] ; [7, 10]
[0, 6] ; [15, 24]
[6, 10] ; [45, 50]
[11, 13] ; [55, 62]
[32, 39] ; [18, 20]
[0, 3] ; [47, 53]
[9, 19] ; [22, 25]
[3, 7] ; [47, 51]
[2, 10] ; [46, 48]
[4, 6] ; [30, 39]
[3, 6] ; [12, 14]
[66, 69] ; [89, 95]
[0, 6] ; [44, 46]
[0, 7] ; [83, 92]
[2, 12] ; [-1, 17]
[2, 7] ; [99, 103]
[8, 13] ; [14, 18]
[6, 12] ; [25, 27]
[12, 16] ; [45, 47]
[3, 7] ; [45, 48]
[12, 19] ; [58, 64]
[113, 115] ; [0, 8]
[2, 7] ; [60, 66]
[46, 50] ; [76, 78]
[0, 3] ; [38, 41]
[136, 142] ; [143, 147]
[0, 6] ; [66, 77]
[6, 11] ; [54, 56]
[0, 5] ; [69, 74]
[41, 44] ; [13, 15]
[7, 16] ; [46, 56]
[0, 10] ; [26, 34]
[0, 2] ; [42, 44]
[12, 15] ; [30, 34]
[0, 10] ; [58, 61]
[0, 5] ; [26, 48]
[60, 63] ; [21, 28]
[0, 3] ; [18, 24]
[6, 14] ; [26, 28]
[0, 3] ; [77, 81]
[2, 8] ; [52, 57]
[0, 1] ; [64, 66]
[3, 5] ; [147, 152]
[11, 34] ; [35, 37]
[0, 6] ; [10, 14]
[3, 8] ; [143, 145]
[4, 12] ; [25, 31]
[0, 4] ; [16, 25]
[0, 2] ; [33, 39]
[79, 84] ; [88, 93]
[0, 2] ; [37, 41]
[0, 5] ; [37, 45]
[76, 81] ; [82, 91]
[0, 4] ; [50, 55]
[0, 5] ; [40, 44]
[5, 10] ; [195, 202]
[0, 6] ; [74, 78]
[57, 61] ; [114, 117]
[9, 11] ; [42, 47]
[0, 5] ; [33, 35]
[3, 7] ; [48, 56]
[3, 10] ; [20, 23]
[0, 7] ; [107, 109]
[0, 7] ; [94, 98]
[0, 7] ; [25, 30]
[51, 58] ; [99, 110]
[0, 4] ; [47, 49]
[0, 5] ; [40, 44]
[0, 6] ; [22, 30]
[42, 45] ; [138, 146]
[0, 6] ; [20, 25]
[4, 12] ; [188, 195]
[31, 34] ; [107, 111]
[0, 2] ; [36, 44]
[0, 5] ; [76, 80]
[0, 2] ; [41, 45]
[12, 16] ; [25, 30]
[14, 17] ; [36, 42]
[37, 46] ; [136, 140]
[0, 6] ; [21, 25]
[0, 2] ; [3, 7]
[94, 97] ; [9, 15]
[0, 4] ; [8, 19]
[44, 47] ; [96, 101]
[13, 17] ; [72, 77]
[12, 17] ; [21, 27]
[39, 44] ; [58, 68]
[0, 6] ; [102, 106]
[0, 4] ; [32, 38]
[0, 2] ; [21, 26]
[3, 9] ; [48, 57]
[6, 9] ; [75, 80]
