[-1, 5] ; [-1, 8]
[-1, 7] ; [-1, 7]
[-1, 3] ; [-1, 3]
[-1, 3] ; [-1, 2]
[-1, 5] ; [-1, 3]
[-1, 3] ; [-1, 1]
[-1, 6] ; [-1, 3]
[-1, 9] ; [-1, 22]
[-1, 4] ; [-1, 16]
[-1, 2] ; [-1, 3]
[-1, 4] ; [-1, 8]
[-1, 3] ; [-1, 2]
[-1, 5] ; [-1, 1]
[-1, 7] ; [-1, 4]
[-1, 2] ; [-1, 1]
[-1, 5] ; [-1, 7]
[-1, 7] ; [-1, 4]
[-1, 4] ; [-1, 4]
[-1, 1] ; [-1, 3]
[-1, 5] ; [-1, 4]
[-1, 4] ; [-1, 6]
[-1, 1] ; [-1, 3]
[-1, 8] ; [-1, 1]
[-1, 6] ; [-1, 7]
[-1, 6] ; [-1, 1]
[-1, 5] ; [-1, 7]
[-1, 4] ; [-1, 3]
[-1, 4] ; [-1, 4]
[-1, 2] ; [-1, 8]
[-1, 5] ; [-1, 7]
[-1, 8] ; [-1, 3]
[-1, 4] ; [-1, 4]
[-1, 2] ; [-1, 16]
[-1, 4] ; [-1, 3]
[-1, 4] ; [-1, 8]
[-1, 1] ; [-1, 3]
[-1, 9] ; [-1, 3]
[-1, 4] ; [-1, 8]
[-1, 1] ; [-1, 1]
[-1, 8] ; [-1, 2]
[-1, 6] ; [-1, 1]
[-1, 2] ; [-1, 20]
[-1, 7] ; [-1, 4]
[-1, 2] ; [-1, 6]
[-1, 1] ; [-1, 2]
[-1, 6] ; [-1, 5]
[-1, 4] ; [-1, 17]
[-1, 4] ; [-1, 3]
[-1, 1] ; [-1, 3]
[-1, 5] ; [-1, 3]
[-1, 6] ; [-1, 2]
[-1, 2] ; [-1, 1]
[-1, 3] ; [-1, 2]
[-1, 4] ; [-1, 3]
[-1, 4] ; [-1, 5]
[-1, 3] ; [-1, 3]
[-1, 4] ; [-1, 8]
[-1, 2] ; [-1, 1]
[-1, 6] ; [-1, 28]
[-1, 4] ; [-1, 2]
[-1, 5] ; [-1, 2]
[-1, 7] ; [-1, 1]
[-1, 3] ; [-1, 5]
[-1, 4] ; [-1, 2]
[-1, 2] ; [-1, 6]
[-1, 5] ; [-1, 2]
[-1, 7] ; [-1, 4]
[-1, 7] ; [-1, 10]
[-1, 6] ; [-1, 2]
[-1, 6] ; [-1, 3]
[-1, 2] ; [-1, 4]
[-1, 3] ; [-1, 4]
[-1, 2] ; [-1, 8]
[-1, 2] ; [-1, 3]
[-1, 4] ; [-1, 8]
[-1, 4] ; [-1, 4]
[-1, 4] ; [-1, 4]
[-1, 2] ; [-1, 6]
[-1, 6] ; [-1, 1]
[-1, 9] ; [-1, 22]
[-1, 7] ; [-1, 4]
[-1, 3] ; [-1, 18]
[-1, 4] ; [-1, 1]
[-1, 3] ; [-1, 7]
[-1, 3] ; [-1, 2]
[-1, 4] ; [-1, 1]
[-1, 2] ; [-1, 2]
[-1, 2] ; [-1, 1]
[-1, 9] ; [-1, 6]
[-1, 7] ; [-1, 2]
[-1, 3] ; [-1, 5]
[-1, 1] ; [-1, 4]
[-1, 5] ; [-1, 4]
[-1, 6] ; [-1, 3]
[-1, 9] ; [-1, 3]
[-1, 3] ; [-1, 4]
[-1, 7] ; [-1, 3]
